stat_week,day,start_date,hours_open,hours_fished,licenses_fished,chinook_large,chinook_smalle,sockeye,coho
18,1,4/30/2017,,,,,,,
18,2,5/1/2017,,,,,,,
18,3,5/2/2017,,,,,,,
18,4,5/3/2017,,,,,,,
18,5,5/4/2017,,,,,,,
18,6,5/5/2017,,,,,,,
18,7,5/6/2017,,,,,,,
19,1,5/7/2017,,,,,,,
19,2,5/8/2017,,,,,,,
19,3,5/9/2017,,,,,,,
19,4,5/10/2017,,,,,,,
19,5,5/11/2017,,,,,,,
19,6,5/12/2017,,,,,,,
19,7,5/13/2017,,,,,,,
20,1,5/14/2017,,,,,,,
20,2,5/15/2017,,,,,,,
20,3,5/16/2017,,,,,,,
20,4,5/17/2017,,,,,,,
20,5,5/18/2017,,,,,,,
20,6,5/19/2017,,,,,,,
20,7,5/20/2017,,,,,,,
21,1,5/21/2017,,,,,,,
21,2,5/22/2017,,,,,,,
21,3,5/23/2017,,,,,,,
21,4,5/24/2017,,,,,,,
21,5,5/25/2017,,,,,,,
21,6,5/26/2017,,,,,,,
21,7,5/27/2017,,,,,,,
22,1,5/28/2017,,,,,,,
22,2,5/29/2017,,,,,,,
22,3,5/30/2017,,,,,,,
22,4,5/31/2017,,,,,,,
22,5,6/1/2017,,,,,,,
22,6,6/2/2017,,,,,,,
22,7,6/3/2017,,,,,,,
23,1,6/4/2017,,,,,,,
23,2,6/5/2017,,,,,,,
23,3,6/6/2017,,,,,,,
23,4,6/7/2017,,,,,,,
23,5,6/8/2017,,,,,,,
23,6,6/9/2017,,,,,,,
23,7,6/10/2017,,,,,,,
24,1,6/11/2017,,,,,,,
24,2,6/12/2017,,,,,,,
24,3,6/13/2017,,,,,,,
24,4,6/14/2017,,,,,,,
24,5,6/15/2017,,,,,,,
24,6,6/16/2017,,,,,,,
24,7,6/17/2017,,,,,,,
25,1,6/18/2017,,,,,,,
25,2,6/19/2017,,,,,,,
25,3,6/20/2017,,,,,,,
25,4,6/21/2017,,,,,,,
25,5,6/22/2017,,,,,,,
25,6,6/23/2017,,,,,,,
25,7,6/24/2017,,,,,,,
