record,stat_week,day_of_week,tag_prefix,spaghetti_tag_number,fishery,recovery_date
1,26,3,s,70200,com,6/27/2017
2,26,3,s,70131,com,6/27/2017
3,26,3,s,70238,com,6/27/2017
4,26,3,s,70246,com,6/27/2017
5,26,3,s,70209,com,6/27/2017
6,26,3,s,70217,com,6/27/2017
7,26,3,tk,5455,com,6/27/2017
8,26,3,s,70205,com,6/27/2017
9,26,3,s,70240,com,6/27/2017
10,26,3,s,70172,com,6/27/2017
11,26,3,s,70149,com,6/27/2017
12,26,3,s,70214,com,6/27/2017
13,26,3,s,70225,com,6/27/2017
14,26,3,s,82577,com,6/27/2017
15,26,3,tk,4755,com,6/27/2017
16,26,4,s,70265,com,6/28/2017
17,26,4,s,70276,com,6/28/2017
18,26,4,s,92551,com,6/28/2017
19,26,4,s,92545,com,6/28/2017
20,26,4,s,70242,com,6/28/2017
21,26,4,s,70247,com,6/28/2017
22,26,4,s,70219,com,6/28/2017
23,26,4,s,92557,com,6/28/2017
24,26,4,s,70232,com,6/28/2017
25,26,4,tk,5437,com,6/28/2017
26,27,1,s,92586,com,7/2/2017
27,27,1,s,70341,com,7/2/2017
28,27,1,s,70138,com,7/2/2017
29,27,1,s,92601,com,7/2/2017
30,27,1,s,70357,com,7/2/2017
31,27,1,s,70312,com,7/2/2017
32,27,1,s,70129,com,7/2/2017
33,27,1,tk,4801,com,7/2/2017
34,27,1,tk,4784,com,7/2/2017
35,27,1,tk,5441,com,7/2/2017
36,27,1,s,70228,com,7/2/2017
37,27,1,s,70350,com,7/2/2017
38,27,1,tk,4662,com,7/2/2017
39,27,1,tk,5465,com,7/2/2017
40,27,1,s,70361,com,7/2/2017
41,27,1,tk,4738,com,7/2/2017
42,27,1,s,82533,com,7/2/2017
43,27,1,s,70255,com,7/2/2017
44,27,1,s,70367,com,7/2/2017
45,27,1,tk,4721,com,7/2/2017
46,27,1,tk,4799,com,7/2/2017
47,27,2,s,70380,com,7/3/2017
48,27,2,s,82599,com,7/3/2017
49,27,2,s,70388,com,7/3/2017
50,27,2,s,70391,com,7/3/2017
51,27,2,s,70368,com,7/3/2017
52,27,2,s,82596,com,7/3/2017
53,27,2,tk,4709,com,7/3/2017
54,28,1,tk,4827,com,7/9/2017
55,28,1,s,70457,com,7/9/2017
56,28,1,s,82660,com,7/9/2017
57,28,1,s,82656,com,7/9/2017
58,28,1,s,82649,com,7/9/2017
59,28,1,s,82627,com,7/9/2017
60,28,1,s,70447,com,7/9/2017
61,28,1,s,70445,com,7/9/2017
62,28,1,s,82663,com,7/9/2017
63,28,1,s,70476,com,7/9/2017
64,28,2,s,92658,com,7/10/2017
65,28,2,s,92643,com,7/10/2017
66,28,2,s,82661,com,7/10/2017
67,28,2,s,70478,com,7/10/2017
68,28,2,s,82664,com,7/10/2017
69,28,2,s,70473,com,7/10/2017
70,28,2,s,82633,com,7/10/2017
71,28,2,s,82652,com,7/10/2017
72,28,1,s,70464,com,7/9/2017
73,28,4,s,82720,com,7/12/2017
74,28,4,s,82651,com,7/12/2017
75,28,4,s,70479,com,7/12/2017
76,28,4,s,70507,com,7/12/2017
77,28,4,s,82669,com,7/12/2017
78,28,4,s,82675,com,7/12/2017
79,28,4,s,82736,com,7/12/2017
80,28,4,s,82650,com,7/12/2017
81,28,4,s,82737,com,7/12/2017
82,28,4,s,82679,com,7/12/2017
83,28,4,s,70509,com,7/12/2017
84,28,4,s,70488,com,7/12/2017
85,28,4,s,82630,com,7/12/2017
86,28,4,s,82697,com,7/12/2017
87,29,1,s,70536,com,7/16/2017
88,29,1,c,37005,com,7/16/2017
89,29,1,tk,4830,com,7/16/2017
90,29,1,s,82703,com,7/16/2017
91,29,1,s,82749,com,7/16/2017
92,29,1,s,92680,com,7/16/2017
93,29,1,s,82729,com,7/16/2017
94,29,1,s,70530,com,7/16/2017
95,29,1,s,92673,com,7/16/2017
96,29,1,s,82740,com,7/16/2017
97,29,1,s,82783,com,7/16/2017
98,29,1,s,82803,com,7/16/2017
99,29,1,s,82745,com,7/16/2017
100,29,1,s,82696,com,7/16/2017
101,29,1,s,82752,com,7/16/2017
102,29,2,s,92656,com,7/17/2017
103,29,2,s,70535,com,7/17/2017
104,29,2,s,82794,com,7/17/2017
105,29,2,s,82776,com,7/17/2017
106,29,2,s,82825,com,7/17/2017
107,29,2,s,92660,com,7/17/2017
108,29,2,s,82758,com,7/17/2017
109,29,2,s,82761,com,7/17/2017
110,29,2,s,92674,com,7/17/2017
111,29,3,tk,4823,com,7/18/2017
112,29,3,s,82780,com,7/18/2017
113,29,3,s,82839,com,7/18/2017
114,29,3,s,82801,com,7/18/2017
115,29,3,s,82850,com,7/18/2017
116,29,3,s,70497,com,7/18/2017
117,29,3,s,82770,com,7/18/2017
118,29,3,s,70551,com,7/18/2017
119,29,3,s,82821,com,7/18/2017
120,29,3,s,92668,com,7/18/2017
121,30,1,s,83125,com,7/23/2017
122,30,1,s,83068,com,7/23/2017
123,30,1,s,70593,com,7/23/2017
124,30,1,s,70602,com,7/23/2017
125,30,1,s,82922,com,7/23/2017
126,30,1,s,82787,com,7/23/2017
127,30,1,s,82902,com,7/23/2017
128,30,1,s,70583,com,7/23/2017
129,30,1,s,83000,com,7/23/2017
130,30,1,s,82957,com,7/23/2017
131,30,1,s,83106,com,7/23/2017
132,30,1,s,82965,com,7/23/2017
133,30,1,s,83051,com,7/23/2017
134,30,1,s,83078,com,7/23/2017
135,30,1,s,82997,com,7/23/2017
136,30,1,s,70616,com,7/23/2017
137,30,1,s,82944,com,7/23/2017
138,30,1,s,70614,com,7/23/2017
139,30,1,s,92703,com,7/23/2017
140,30,1,tk,4840,com,7/23/2017
141,30,1,s,82993,com,7/23/2017
142,30,1,s,83083,com,7/23/2017
143,30,2,s,83021,com,7/24/2017
144,30,2,s,83223,com,7/24/2017
145,30,2,s,83117,com,7/24/2017
146,30,2,s,92709,com,7/24/2017
147,30,2,s,82953,com,7/24/2017
148,30,2,s,83052,com,7/24/2017
149,30,2,s,92727,com,7/24/2017
150,30,2,s,82900,com,7/24/2017
151,30,2,s,83038,com,7/24/2017
152,30,2,s,70642,com,7/24/2017
153,30,2,s,83132,com,7/24/2017
154,30,2,s,83153,com,7/24/2017
155,30,2,s,70643,com,7/24/2017
156,30,2,s,83151,com,7/24/2017
157,30,2,s,83099,com,7/24/2017
158,30,2,c,37047,com,7/24/2017
159,30,2,s,83044,com,7/24/2017
160,30,2,s,83045,com,7/24/2017
161,30,2,s,83133,com,7/24/2017
162,30,2,s,92708,com,7/24/2017
163,30,2,s,82925,com,7/24/2017
164,30,2,s,82896,com,7/24/2017
165,30,2,s,83186,com,7/24/2017
166,30,2,s,83010,com,7/24/2017
167,30,2,s,83075,com,7/24/2017
168,30,2,s,92693,com,7/24/2017
169,30,2,s,83154,com,7/24/2017
170,30,2,s,83002,com,7/24/2017
171,30,2,s,83030,com,7/24/2017
172,30,2,c,37043,com,7/24/2017
173,30,2,s,83104,com,7/24/2017
174,30,2,s,83027,com,7/24/2017
175,30,2,s,83147,com,7/24/2017
176,30,2,s,92714,com,7/24/2017
177,30,2,s,82907,com,7/24/2017
178,30,2,s,92684,com,7/24/2017
179,30,2,s,70700,com,7/24/2017
180,30,2,s,83262,com,7/24/2017
181,30,2,s,70662,com,7/24/2017
182,30,3,c,37069,com,7/25/2017
183,30,3,s,83182,com,7/25/2017
184,30,3,s,70650,com,7/25/2017
185,30,3,s,70636,com,7/25/2017
186,30,3,s,70637,com,7/25/2017
187,30,3,s,82951,com,7/25/2017
188,30,3,s,83092,com,7/25/2017
189,30,3,s,83252,com,7/25/2017
190,30,3,s,83181,com,7/25/2017
191,30,3,s,83145,com,7/25/2017
192,30,3,s,83157,com,7/25/2017
193,30,3,s,82930,com,7/25/2017
194,30,3,s,83219,com,7/25/2017
195,30,3,s,83158,com,7/25/2017
196,30,3,s,83155,com,7/25/2017
197,30,3,s,70639,com,7/25/2017
198,30,3,s,92723,com,7/25/2017
199,30,3,s,83043,com,7/25/2017
200,30,3,s,83184,com,7/25/2017
201,30,3,s,83214,com,7/25/2017
202,30,3,s,92734,com,7/25/2017
203,30,3,s,83222,com,7/25/2017
204,30,3,s,83116,com,7/25/2017
205,30,3,s,70659,com,7/25/2017
206,30,3,s,83212,com,7/25/2017
207,30,3,s,83138,com,7/25/2017
208,30,3,s,92726,com,7/25/2017
209,30,3,s,70679,com,7/25/2017
210,30,3,s,83100,com,7/25/2017
211,30,3,s,83209,com,7/25/2017
212,30,3,s,70640,com,7/25/2017
213,30,3,s,83063,com,7/25/2017
214,30,3,s,82962,com,7/25/2017
215,30,3,s,92735,com,7/25/2017
216,30,4,s,70730,com,7/26/2017
217,30,4,s,70622,com,7/26/2017
218,30,4,s,83358,com,7/26/2017
219,30,4,s,83187,com,7/26/2017
220,30,4,s,83275,com,7/26/2017
221,30,4,s,70699,com,7/26/2017
222,30,4,s,83407,com,7/26/2017
223,30,4,s,83315,com,7/26/2017
224,30,4,s,83401,com,7/26/2017
225,30,4,s,92728,com,7/26/2017
226,30,4,s,83105,com,7/26/2017
227,30,4,c,37046,com,7/26/2017
228,30,4,s,70652,com,7/26/2017
229,30,4,s,92732,com,7/26/2017
230,30,4,s,83274,com,7/26/2017
231,30,4,s,70660,com,7/26/2017
232,30,4,s,83248,com,7/26/2017
233,30,4,s,83164,com,7/26/2017
234,30,4,s,83198,com,7/26/2017
235,30,4,s,83178,com,7/26/2017
236,30,4,s,83310,com,7/26/2017
237,30,4,s,83146,com,7/26/2017
238,30,4,s,70641,com,7/26/2017
239,30,4,s,70360,com,7/26/2017
240,30,4,s,83170,com,7/26/2017
241,30,4,s,83354,com,7/26/2017
242,30,4,s,70763,com,7/26/2017
243,30,4,s,83221,com,7/26/2017
244,30,4,s,83309,com,7/26/2017
245,30,4,s,83288,com,7/26/2017
246,30,4,s,83225,com,7/26/2017
247,30,4,s,70733,com,7/26/2017
248,30,4,s,82960,com,7/26/2017
249,30,4,s,83020,com,7/26/2017
250,30,4,s,83134,com,7/26/2017
251,30,4,s,83272,com,7/26/2017
252,30,4,s,83228,com,7/26/2017
253,30,4,s,92738,com,7/26/2017
254,30,4,s,70683,com,7/26/2017
255,30,4,s,83260,com,7/26/2017
256,30,4,s,83277,com,7/26/2017
257,30,4,s,83345,com,7/26/2017
258,30,4,s,83189,com,7/26/2017
259,30,4,s,70698,com,7/26/2017
260,30,4,s,83086,com,7/26/2017
261,30,4,s,83050,com,7/26/2017
262,30,4,s,70744,com,7/26/2017
263,30,4,c,37057,com,7/26/2017
264,30,4,s,83263,com,7/26/2017
265,30,4,s,83255,com,7/26/2017
266,30,4,s,83101,com,7/26/2017
267,30,4,s,70771,com,7/26/2017
268,30,4,s,70677,com,7/26/2017
269,30,4,s,70704,com,7/26/2017
270,30,4,s,92694,com,7/26/2017
271,30,4,s,83258,com,7/26/2017
272,30,4,s,82924,com,7/26/2017
273,30,4,s,83304,com,7/26/2017
274,30,4,s,83149,com,7/26/2017
275,30,4,s,70646,com,7/26/2017
276,30,4,s,83234,com,7/26/2017
277,30,4,s,82954,com,7/26/2017
278,30,4,s,83089,com,7/26/2017
279,30,4,s,83109,com,7/26/2017
280,30,4,s,70656,com,7/26/2017
281,30,4,s,92704,com,7/26/2017
282,31,1,s,83462,com,7/30/2017
283,31,1,s,70634,com,7/30/2017
284,31,1,s,83183,com,7/30/2017
285,31,1,s,70785,com,7/30/2017
286,31,1,s,83620,com,7/30/2017
287,31,1,s,70812,com,7/30/2017
288,31,1,s,83452,com,7/30/2017
289,31,1,s,83423,com,7/30/2017
290,31,1,s,83361,com,7/30/2017
291,31,1,s,83530,com,7/30/2017
292,31,1,s,70767,com,7/30/2017
293,31,1,s,70745,com,7/30/2017
294,31,1,s,83389,com,7/30/2017
295,31,1,s,83453,com,7/30/2017
296,31,1,s,83350,com,7/30/2017
297,31,1,s,83579,com,7/30/2017
298,31,1,s,70876,com,7/30/2017
